index,time,dataset,n_clusters,cluster,num sample,history turn,data ratio,slot acc,turn acc,dialogue acc,checkpoint,feature
0,23-07-14 16:33:07,multiwoz2.2,1,0,0,4,5,81.92,80.76,71.89,,transformer
1,23-07-14 16:37:52,multiwoz2.2,1,0,0,4,5,87.83,86.74,80.58,,transformer
2,23-07-14 16:42:43,multiwoz2.2,1,0,0,4,5,89.0,88.04,83.19,,transformer
3,23-07-14 16:47:24,multiwoz2.2,1,0,0,4,5,91.08,90.36,85.04,,transformer
4,23-07-14 16:52:11,multiwoz2.2,1,0,0,4,5,90.92,90.2,84.98,,transformer
5,23-07-14 16:56:57,multiwoz2.2,1,0,0,4,5,90.58,89.79,84.56,,transformer
6,23-07-14 17:04:09,multiwoz2.2,1,0,0,4,5,90.52,84.18,46.5,save/multiwoz2.2/5/4/1-cluster/best,transformer
7,23-07-14 17:04:14,multiwoz2.2,1,all,0,4,5,90.52,84.18,46.5,save/multiwoz2.2/5/4/1-cluster/best,transformer
8,23-07-14 17:11:13,multiwoz2.2,2,0,0,4,5,83.58,81.7,73.67,,transformer
9,23-07-14 17:15:44,multiwoz2.2,2,1,0,4,5,93.0,92.51,88.58,,transformer
10,23-07-14 17:20:34,multiwoz2.2,2,0,0,4,5,86.92,85.96,79.39,,transformer
11,23-07-14 17:25:06,multiwoz2.2,2,1,0,4,5,95.92,95.56,93.26,,transformer
12,23-07-14 17:29:49,multiwoz2.2,2,0,0,4,5,89.42,88.55,83.6,,transformer
13,23-07-14 17:34:14,multiwoz2.2,2,1,0,4,5,95.58,95.45,93.56,,transformer
14,23-07-14 17:39:06,multiwoz2.2,2,0,0,4,5,89.58,88.52,83.24,,transformer
15,23-07-14 17:43:34,multiwoz2.2,2,1,0,4,5,95.0,94.7,91.94,,transformer
16,23-07-14 17:48:16,multiwoz2.2,2,0,0,4,5,91.92,91.1,86.93,,transformer
17,23-07-14 17:52:57,multiwoz2.2,2,0,0,4,5,91.33,90.5,86.7,,transformer
18,23-07-14 17:57:40,multiwoz2.2,2,0,0,4,5,90.67,89.78,85.4,,transformer
19,23-07-14 18:02:38,multiwoz2.2,2,0,0,4,5,90.01,84.71,57.76,save/multiwoz2.2/5/4/2-cluster/best,transformer
20,23-07-14 18:04:25,multiwoz2.2,2,1,0,4,5,93.48,92.17,82.83,save/multiwoz2.2/5/4/2-cluster/best,transformer
21,23-07-14 18:04:29,multiwoz2.2,2,all,0,4,5,91.1,84.98,49.3,save/multiwoz2.2/5/4/2-cluster/best,transformer
22,23-07-14 18:11:22,multiwoz2.2,3,0,0,4,5,86.25,84.96,80.28,,transformer
23,23-07-14 18:16:28,multiwoz2.2,3,1,0,4,5,85.92,84.24,76.45,,transformer
24,23-07-14 18:21:09,multiwoz2.2,3,2,0,4,5,91.5,90.89,86.3,,transformer
25,23-07-14 18:26:04,multiwoz2.2,3,0,0,4,5,89.17,88.32,83.59,,transformer
26,23-07-14 18:30:55,multiwoz2.2,3,1,0,4,5,90.08,88.92,84.41,,transformer
27,23-07-14 18:35:39,multiwoz2.2,3,2,0,4,5,93.58,93.01,89.72,,transformer
28,23-07-14 18:40:29,multiwoz2.2,3,0,0,4,5,88.42,87.22,82.57,,transformer
29,23-07-14 18:45:16,multiwoz2.2,3,1,0,4,5,90.67,89.61,84.71,,transformer
30,23-07-14 18:49:48,multiwoz2.2,3,2,0,4,5,94.58,94.22,90.5,,transformer
31,23-07-14 18:54:35,multiwoz2.2,3,0,0,4,5,89.67,88.68,84.75,,transformer
32,23-07-14 18:59:25,multiwoz2.2,3,1,0,4,5,88.92,87.77,82.71,,transformer
33,23-07-14 19:03:59,multiwoz2.2,3,2,0,4,5,94.08,93.64,90.41,,transformer
34,23-07-14 19:08:46,multiwoz2.2,3,0,0,4,5,90.08,89.16,84.59,,transformer
35,23-07-14 19:13:34,multiwoz2.2,3,1,0,4,5,90.17,88.82,83.38,,transformer
36,23-07-14 19:17:57,multiwoz2.2,3,2,0,4,5,95.83,95.47,93.15,,transformer
37,23-07-14 19:22:45,multiwoz2.2,3,0,0,4,5,89.33,88.43,83.29,,transformer
38,23-07-14 19:27:12,multiwoz2.2,3,2,0,4,5,95.92,95.53,93.06,,transformer
39,23-07-14 19:31:59,multiwoz2.2,3,0,0,4,5,89.92,89.09,84.23,,transformer
40,23-07-14 19:36:24,multiwoz2.2,3,2,0,4,5,95.25,94.91,92.52,,transformer
41,23-07-14 19:40:52,multiwoz2.2,3,2,0,4,5,95.67,95.35,93.06,,transformer
42,23-07-14 19:43:35,multiwoz2.2,3,0,0,4,5,89.6,86.89,73.83,save/multiwoz2.2/5/4/3-cluster/best,transformer
43,23-07-14 19:46:15,multiwoz2.2,3,1,0,4,5,89.65,86.01,71.2,save/multiwoz2.2/5/4/3-cluster/best,transformer
44,23-07-14 19:47:57,multiwoz2.2,3,2,0,4,5,94.85,93.87,85.71,save/multiwoz2.2/5/4/3-cluster/best,transformer
45,23-07-14 19:48:02,multiwoz2.2,3,all,0,4,5,91.27,85.49,49.1,save/multiwoz2.2/5/4/3-cluster/best,transformer
46,23-07-14 19:54:46,multiwoz2.2,5,0,0,4,5,88.83,88.02,82.51,,transformer
47,23-07-14 20:00:02,multiwoz2.2,5,1,0,4,5,85.58,85.45,80.38,,transformer
48,23-07-14 20:04:48,multiwoz2.2,5,2,0,4,5,90.83,90.13,83.25,,transformer
49,23-07-14 20:09:30,multiwoz2.2,5,3,0,4,5,92.67,92.5,89.06,,transformer
50,23-07-14 20:14:38,multiwoz2.2,5,4,0,4,5,85.08,82.32,76.27,,transformer
51,23-07-14 20:19:21,multiwoz2.2,5,0,0,4,5,90.33,89.34,85.01,,transformer
52,23-07-14 20:24:24,multiwoz2.2,5,1,0,4,5,88.25,87.89,83.29,,transformer
53,23-07-14 20:29:06,multiwoz2.2,5,2,0,4,5,94.0,93.36,88.48,,transformer
54,23-07-14 20:33:40,multiwoz2.2,5,3,0,4,5,94.25,94.13,91.91,,transformer
55,23-07-14 20:38:34,multiwoz2.2,5,4,0,4,5,88.75,86.4,81.14,,transformer
56,23-07-14 20:43:29,multiwoz2.2,5,0,0,4,5,89.92,89.06,83.74,,transformer
57,23-07-14 20:48:33,multiwoz2.2,5,1,0,4,5,88.67,88.82,85.1,,transformer
58,23-07-14 20:52:59,multiwoz2.2,5,2,0,4,5,93.75,93.15,88.38,,transformer
59,23-07-14 20:57:34,multiwoz2.2,5,3,0,4,5,95.0,94.91,92.69,,transformer
60,23-07-14 21:02:35,multiwoz2.2,5,4,0,4,5,88.25,86.18,80.0,,transformer
61,23-07-14 21:07:11,multiwoz2.2,5,0,0,4,5,91.92,90.95,86.82,,transformer
62,23-07-14 21:12:14,multiwoz2.2,5,1,0,4,5,88.5,88.25,84.51,,transformer
63,23-07-14 21:16:51,multiwoz2.2,5,2,0,4,5,94.5,93.91,89.55,,transformer
64,23-07-14 21:21:30,multiwoz2.2,5,3,0,4,5,94.42,94.3,92.21,,transformer
65,23-07-14 21:26:18,multiwoz2.2,5,4,0,4,5,89.25,87.11,82.18,,transformer
66,23-07-14 21:30:55,multiwoz2.2,5,0,0,4,5,92.75,92.03,88.65,,transformer
67,23-07-14 21:35:49,multiwoz2.2,5,1,0,4,5,78.5,78.88,72.84,,transformer
68,23-07-14 21:40:18,multiwoz2.2,5,2,0,4,5,94.42,93.81,88.89,,transformer
69,23-07-14 21:45:01,multiwoz2.2,5,3,0,4,5,95.0,94.88,92.56,,transformer
70,23-07-14 21:49:49,multiwoz2.2,5,4,0,4,5,89.33,87.24,82.65,,transformer
71,23-07-14 21:54:36,multiwoz2.2,5,0,0,4,5,91.33,90.49,86.18,,transformer
72,23-07-14 21:58:55,multiwoz2.2,5,2,0,4,5,96.0,95.58,92.24,,transformer
73,23-07-14 22:03:41,multiwoz2.2,5,4,0,4,5,88.58,86.42,81.12,,transformer
74,23-07-14 22:08:13,multiwoz2.2,5,0,0,4,5,93.17,92.56,88.81,,transformer
75,23-07-14 22:12:33,multiwoz2.2,5,2,0,4,5,96.08,95.61,92.24,,transformer
76,23-07-14 22:17:21,multiwoz2.2,5,4,0,4,5,90.08,88.16,83.11,,transformer
77,23-07-17 14:14:40,multiwoz2.2,5,0,0,4,5,92.68,91.07,82.71,save/multiwoz2.2/5/4/5-cluster/best,transformer
78,23-07-17 14:16:01,multiwoz2.2,5,1,0,4,5,78.24,77.62,66.52,save/multiwoz2.2/5/4/5-cluster/best,transformer
79,23-07-17 14:16:41,multiwoz2.2,5,2,0,4,5,97.03,96.58,93.45,save/multiwoz2.2/5/4/5-cluster/best,transformer
80,23-07-17 14:17:41,multiwoz2.2,5,3,0,4,5,93.03,92.85,88.88,save/multiwoz2.2/5/4/5-cluster/best,transformer
81,23-07-17 14:18:51,multiwoz2.2,5,4,0,4,5,89.41,86.14,78.63,save/multiwoz2.2/5/4/5-cluster/best,transformer
82,23-07-17 14:18:55,multiwoz2.2,5,all,0,4,5,89.43,82.66,44.4,save/multiwoz2.2/5/4/5-cluster/best,transformer
83,23-08-08 21:00:50,multiwoz2.2,2,0,0,4,5,85.33,84.19,76.93,,embedding
84,23-08-08 21:09:55,multiwoz2.2,2,1,0,4,5,90.33,89.68,83.15,,embedding
85,23-08-08 21:18:52,multiwoz2.2,2,0,0,4,5,83.67,82.85,73.73,,embedding
86,23-08-08 21:27:51,multiwoz2.2,2,1,0,4,5,90.92,90.19,82.87,,embedding
87,23-08-08 21:36:45,multiwoz2.2,2,0,0,4,5,84.25,83.35,76.12,,embedding
88,23-08-08 21:45:47,multiwoz2.2,2,1,0,4,5,90.25,89.8,83.73,,embedding
89,23-08-08 21:54:40,multiwoz2.2,2,0,0,4,5,85.67,85.14,78.0,,embedding
90,23-08-08 22:03:37,multiwoz2.2,2,1,0,4,5,90.0,89.0,82.21,,embedding
91,23-08-08 22:12:28,multiwoz2.2,2,0,0,4,5,84.83,83.73,76.0,,embedding
92,23-08-08 22:21:26,multiwoz2.2,2,1,0,4,5,91.67,90.62,84.95,,embedding
93,23-08-08 22:30:23,multiwoz2.2,2,0,0,4,5,84.25,83.26,76.53,,embedding
94,23-08-08 22:39:25,multiwoz2.2,2,1,0,4,5,89.58,88.87,83.24,,embedding
95,23-08-08 22:48:23,multiwoz2.2,2,0,0,4,5,84.25,83.35,74.69,,embedding
96,23-08-08 22:57:29,multiwoz2.2,2,1,0,4,5,90.17,89.35,82.16,,embedding
97,23-08-08 23:06:27,multiwoz2.2,2,0,0,4,5,86.42,85.77,78.24,,embedding
98,23-08-08 23:15:33,multiwoz2.2,2,1,0,4,5,90.58,89.92,83.58,,embedding
99,23-08-08 23:24:33,multiwoz2.2,2,0,0,4,5,87.5,86.91,80.66,,embedding
100,23-08-08 23:33:39,multiwoz2.2,2,1,0,4,5,90.83,90.39,84.49,,embedding
101,23-08-08 23:42:37,multiwoz2.2,2,0,0,4,5,86.83,86.1,78.62,,embedding
102,23-08-08 23:51:43,multiwoz2.2,2,1,0,4,5,90.08,89.29,84.19,,embedding
103,23-08-09 00:00:41,multiwoz2.2,2,0,0,4,5,83.67,82.97,76.68,,embedding
104,23-08-09 00:09:39,multiwoz2.2,2,0,0,4,5,86.08,85.65,78.27,,embedding
105,23-08-09 00:18:40,multiwoz2.2,2,0,0,4,5,86.0,85.34,78.37,,embedding
106,23-08-09 00:27:44,multiwoz2.2,2,0,0,4,5,83.25,82.5,73.63,,embedding
107,23-08-09 00:46:59,multiwoz2.2,2,0,0,4,5,84.43,63.65,23.7,save/multiwoz2.2/5/4/2-cluster/embedding/best,embedding
108,23-08-09 00:53:47,multiwoz2.2,2,1,0,4,5,88.87,82.75,59.75,save/multiwoz2.2/5/4/2-cluster/embedding/best,embedding
109,23-08-09 00:54:07,multiwoz2.2,2,all,0,4,5,85.65,61.4,21.5,save/multiwoz2.2/5/4/2-cluster/embedding/best,embedding
110,23-08-10 02:09:12,multiwoz2.2,8,0,0,4,5,91.92,91.34,85.93,,embedding
111,23-08-10 02:19:18,multiwoz2.2,8,1,0,4,5,69.17,52.02,35.89,,embedding
112,23-08-10 02:28:07,multiwoz2.2,8,2,0,4,5,85.42,84.74,75.69,,embedding
113,23-08-10 02:37:42,multiwoz2.2,8,3,0,4,5,78.83,78.83,65.2,,embedding
114,23-08-10 02:46:38,multiwoz2.2,8,4,0,4,5,85.58,84.49,74.72,,embedding
115,23-08-10 02:56:08,multiwoz2.2,8,5,0,4,5,83.83,83.82,68.99,,embedding
116,23-08-10 03:05:04,multiwoz2.2,8,6,0,4,5,89.0,87.65,76.83,,embedding
117,23-08-10 03:13:44,multiwoz2.2,8,7,0,4,5,88.5,88.38,78.48,,embedding
118,23-08-10 03:22:51,multiwoz2.2,8,0,0,4,5,91.5,91.16,86.43,,embedding
119,23-08-10 03:32:43,multiwoz2.2,8,1,0,4,5,69.51,52.65,35.41,,embedding
120,23-08-10 03:41:27,multiwoz2.2,8,2,0,4,5,85.08,84.0,74.54,,embedding
121,23-08-10 03:50:58,multiwoz2.2,8,3,0,4,5,76.58,76.58,63.2,,embedding
122,23-08-10 03:59:50,multiwoz2.2,8,4,0,4,5,87.67,86.5,78.46,,embedding
123,23-08-10 04:09:18,multiwoz2.2,8,5,0,4,5,84.17,84.14,71.11,,embedding
124,23-08-10 04:18:06,multiwoz2.2,8,6,0,4,5,86.92,85.89,75.47,,embedding
125,23-08-10 04:26:43,multiwoz2.2,8,7,0,4,5,87.5,87.27,75.56,,embedding
126,23-08-10 04:35:47,multiwoz2.2,8,0,0,4,5,90.75,90.13,84.14,,embedding
127,23-08-10 04:46:00,multiwoz2.2,8,1,0,4,5,69.17,51.71,33.97,,embedding
128,23-08-10 04:54:43,multiwoz2.2,8,2,0,4,5,87.58,86.93,78.99,,embedding
129,23-08-10 05:04:11,multiwoz2.2,8,3,0,4,5,79.33,79.33,66.57,,embedding
130,23-08-10 05:13:01,multiwoz2.2,8,4,0,4,5,87.0,85.9,77.84,,embedding
131,23-08-10 05:22:30,multiwoz2.2,8,5,0,4,5,84.42,84.39,70.87,,embedding
132,23-08-10 05:31:19,multiwoz2.2,8,6,0,4,5,88.83,87.75,79.86,,embedding
133,23-08-10 05:39:56,multiwoz2.2,8,7,0,4,5,87.0,86.92,75.4,,embedding
134,23-08-10 05:49:03,multiwoz2.2,8,0,0,4,5,90.92,90.41,83.5,,embedding
135,23-08-10 05:59:08,multiwoz2.2,8,1,0,4,5,71.47,54.52,37.8,,embedding
136,23-08-10 06:08:01,multiwoz2.2,8,2,0,4,5,84.75,84.18,75.0,,embedding
137,23-08-10 06:17:34,multiwoz2.2,8,3,0,4,5,78.83,78.83,66.27,,embedding
138,23-08-10 06:26:26,multiwoz2.2,8,4,0,4,5,87.17,86.24,78.87,,embedding
139,23-08-10 06:35:52,multiwoz2.2,8,5,0,4,5,83.58,83.57,69.75,,embedding
140,23-08-10 06:44:40,multiwoz2.2,8,6,0,4,5,89.08,87.94,78.94,,embedding
141,23-08-10 06:53:16,multiwoz2.2,8,7,0,4,5,87.75,87.67,77.4,,embedding
142,23-08-10 07:02:21,multiwoz2.2,8,0,0,4,5,91.67,91.04,85.91,,embedding
143,23-08-10 07:12:23,multiwoz2.2,8,1,0,4,5,69.51,52.18,34.45,,embedding
144,23-08-10 07:21:04,multiwoz2.2,8,2,0,4,5,87.08,86.69,77.4,,embedding
145,23-08-10 07:30:35,multiwoz2.2,8,3,0,4,5,79.92,79.92,68.14,,embedding
146,23-08-10 07:39:25,multiwoz2.2,8,4,0,4,5,85.83,84.47,75.14,,embedding
147,23-08-10 07:48:49,multiwoz2.2,8,5,0,4,5,83.42,83.4,70.95,,embedding
148,23-08-10 07:57:37,multiwoz2.2,8,6,0,4,5,89.42,88.03,79.45,,embedding
149,23-08-10 08:06:13,multiwoz2.2,8,7,0,4,5,86.83,86.65,74.21,,embedding
150,23-08-10 08:15:19,multiwoz2.2,8,0,0,4,5,91.25,90.67,86.67,,embedding
151,23-08-10 08:25:03,multiwoz2.2,8,1,0,4,5,71.89,55.45,38.76,,embedding
152,23-08-10 08:33:49,multiwoz2.2,8,2,0,4,5,86.67,86.04,77.86,,embedding
153,23-08-10 08:43:31,multiwoz2.2,8,3,0,4,5,78.58,78.58,66.86,,embedding
154,23-08-10 08:52:21,multiwoz2.2,8,4,0,4,5,85.25,84.09,74.58,,embedding
155,23-08-10 09:01:51,multiwoz2.2,8,5,0,4,5,84.08,84.07,71.63,,embedding
156,23-08-10 09:10:41,multiwoz2.2,8,6,0,4,5,89.33,87.77,79.4,,embedding
157,23-08-10 09:19:22,multiwoz2.2,8,7,0,4,5,88.0,87.74,77.65,,embedding
158,23-08-10 09:29:15,multiwoz2.2,8,1,0,4,5,71.38,54.67,36.84,,embedding
159,23-08-10 09:38:02,multiwoz2.2,8,2,0,4,5,85.67,85.18,78.48,,embedding
160,23-08-10 09:47:34,multiwoz2.2,8,3,0,4,5,79.5,79.5,65.29,,embedding
161,23-08-10 09:56:28,multiwoz2.2,8,4,0,4,5,85.42,83.99,74.09,,embedding
162,23-08-10 10:05:52,multiwoz2.2,8,5,0,4,5,83.92,83.89,69.97,,embedding
163,23-08-10 10:14:45,multiwoz2.2,8,6,0,4,5,89.92,89.08,80.69,,embedding
164,23-08-10 10:24:30,multiwoz2.2,8,1,0,4,5,70.95,53.58,36.84,,embedding
165,23-08-10 10:33:14,multiwoz2.2,8,2,0,4,5,87.33,86.71,78.65,,embedding
166,23-08-10 10:42:42,multiwoz2.2,8,3,0,4,5,78.92,78.92,65.89,,embedding
167,23-08-10 10:52:06,multiwoz2.2,8,5,0,4,5,82.83,82.82,69.44,,embedding
168,23-08-10 11:00:54,multiwoz2.2,8,6,0,4,5,89.75,89.1,81.05,,embedding
169,23-08-10 11:10:40,multiwoz2.2,8,1,0,4,5,70.27,53.43,35.89,,embedding
170,23-08-10 11:20:14,multiwoz2.2,8,3,0,4,5,77.75,77.75,64.99,,embedding
171,23-08-10 11:29:05,multiwoz2.2,8,6,0,4,5,88.58,87.89,79.77,,embedding
172,23-08-10 11:38:51,multiwoz2.2,8,1,0,4,5,70.53,53.27,36.36,,embedding
173,23-08-10 11:48:23,multiwoz2.2,8,3,0,4,5,77.92,77.92,62.54,,embedding
174,23-08-10 11:57:15,multiwoz2.2,8,6,0,4,5,90.08,89.2,81.25,,embedding
175,23-08-10 12:06:58,multiwoz2.2,8,1,0,4,5,70.1,52.96,36.84,,embedding
176,23-08-10 12:15:46,multiwoz2.2,8,6,0,4,5,89.33,88.11,80.0,,embedding
177,23-08-10 12:24:34,multiwoz2.2,8,6,0,4,5,87.5,86.61,77.96,,embedding
178,23-08-10 12:33:24,multiwoz2.2,8,6,0,4,5,89.33,88.51,80.79,,embedding
179,23-08-10 12:42:12,multiwoz2.2,8,6,0,4,5,89.67,88.34,79.95,,embedding
180,23-08-10 12:51:12,multiwoz2.2,8,6,0,4,5,86.92,86.41,78.44,,embedding
181,23-08-10 12:57:45,multiwoz2.2,8,0,0,4,5,89.66,84.81,68.17,save/multiwoz2.2/5/4/8-cluster/embedding/best,embedding
182,23-08-10 12:58:36,multiwoz2.2,8,1,0,4,5,70.97,53.12,36.87,save/multiwoz2.2/5/4/8-cluster/embedding/best,embedding
