,domain,slotname,slotname_acc,domain_acc,cluster
0,hotel,hotel area,0.7150663544106167,0.6948091603053436,0
1,hotel,hotel day,0.7760910815939279,0.6948091603053436,0
2,hotel,hotel internet,0.8923212709620476,0.6948091603053436,0
3,hotel,hotel name,0.680837954405422,0.6948091603053436,0
4,hotel,hotel parking,0.3459759481961147,0.6948091603053436,0
5,hotel,hotel people,0.8788461538461538,0.6948091603053436,0
6,hotel,hotel pricerange,0.8062717770034843,0.6948091603053436,0
7,hotel,hotel reference,0.8077360637087599,0.6948091603053436,0
8,hotel,hotel stars,0.7600334448160535,0.6948091603053436,0
9,hotel,hotel stay,0.6172839506172839,0.6948091603053436,0
10,hotel,hotel type,0.4060377358490566,0.6948091603053436,0
