,n_clusters,silhouette
0,2,0.16814273520700188
1,3,0.14606508672512833
2,4,0.08624316889767258
3,5,0.1798127743913667
4,6,0.11910831236320846
5,7,0.14689423424358639
6,8,0.19419268587039862
7,9,0.19898970758439363
