,n_clusters,SSE
0,1,379301978.5673778
1,2,166809266.46072578
2,3,117161269.88538247
3,4,94193072.59182927
4,5,74594008.11931902
5,6,72344049.56910193
6,7,62010861.993058085
7,8,59536200.46344037
8,9,57895539.03651321
9,10,56596797.93978561
10,11,52748495.951663405
11,12,53662273.87621519
12,13,47649560.196410276
13,14,47568683.72237573
14,15,45667332.99434386
15,16,42541204.93048353
16,17,39933346.423510335
17,18,38683734.76517771
18,19,35550319.8616307
19,20,37374853.88120157
20,21,33229824.275853686
21,22,32538749.88276577
22,23,30717928.47822967
23,24,28802316.524891827
24,25,28749065.087690804
25,26,27087857.38298796
26,27,24728863.567030393
27,28,23808859.04745426
28,29,22578842.72536559
29,30,22742205.323599074
30,31,20534846.144063227
31,32,20384279.078149617
32,33,19182265.793789808
33,34,17400237.82195966
34,35,16618822.238507979
35,36,15631063.507548846
36,37,15331488.274567146
37,38,13612626.311261728
38,39,12805060.69461674
39,40,12086829.512792142
40,41,11020705.236313663
41,42,10205710.601919018
42,43,9671615.304352926
43,44,9138545.531765293
44,45,8378575.314359688
45,46,7279378.707286786
46,47,6550445.851608841
47,48,5939210.26962309
48,49,5363775.957566824
49,50,4961402.154295716
50,51,4220738.376227256
51,52,3483146.3522994565
52,53,2923488.653574151
53,54,2569523.220294941
54,55,2063476.4235399745
55,56,1644095.6570758547
56,57,1237068.9881647343
57,58,890856.3762936306
58,59,547719.7124819676
59,60,258852.40143288882
