,n_clusters,silhouette
0,2,0.3062779428397583
1,3,0.20824636241055916
2,4,0.15479029207004208
3,5,0.12324638980917155
4,6,0.11088329757922644
5,7,0.10840089622293503
6,8,0.1299056195930418
7,9,0.11213485901562503
8,10,0.09397451143194227
9,11,0.10254626384205265
10,12,0.09099250052700593
11,13,0.08691796397207992
12,14,0.09490496013197586
13,15,0.09569852644389236
14,16,0.09117602221262924
15,17,0.0959825837996377
16,18,0.08571093350455486
17,19,0.08389244641787634
18,20,0.08543700536097339
19,21,0.09000668612057207
20,22,0.09339128827921934
21,23,0.08037001975838522
22,24,0.09098216529878668
23,25,0.08700962569773457
24,26,0.0869802205819106
25,27,0.10516655355835018
26,28,0.08159417160852832
27,29,0.09232544495666524
28,30,0.08506138293986629
29,31,0.10023364336236087
30,32,0.09357502713207237
31,33,0.09538199510424536
32,34,0.09048371737569244
33,35,0.09031426591960193
34,36,0.09882849654057052
35,37,0.1141205053447219
36,38,0.10174890667840404
37,39,0.09141827600364194
38,40,0.09960440798386419
39,41,0.10497989368782856
40,42,0.1045164810833692
41,43,0.1033125772742619
42,44,0.09488849691245074
43,45,0.10377621629585806
44,46,0.09630049875412722
45,47,0.10137814787321305
46,48,0.10362056270298292
47,49,0.10256302309470632
48,50,0.09255357797594527
49,51,0.10266856593251777
50,52,0.0940288930614435
51,53,0.10014061283679146
52,54,0.09756804858007374
53,55,0.10510525475947691
54,56,0.10019600991275612
55,57,0.09839703161060728
56,58,0.1051923193594316
57,59,0.10837395246742956
58,60,0.09926477858101232
59,61,0.10261050972748804
60,62,0.10776657424757517
61,63,0.10284417756809558
62,64,0.10103999785031606
63,65,0.10749957901229101
64,66,0.10156968302567784
65,67,0.09787666368522899
66,68,0.09425408652950297
67,69,0.10986798274471517
68,70,0.10457861152579051
69,71,0.10296294959696789
70,72,0.11143839167319483
71,73,0.11183325706135479
72,74,0.10250179942193188
73,75,0.11238108005539876
74,76,0.09653359538902674
75,77,0.10815172143727729
76,78,0.11184208446212549
77,79,0.12023836719074929
78,80,0.1119043384348814
79,81,0.11611815419636147
80,82,0.1118107333753813
81,83,0.11970842433929318
82,84,0.11370152024244919
83,85,0.11716499772445885
84,86,0.10548056939234635
85,87,0.11452690803184341
86,88,0.1026423343757744
87,89,0.10202403779120875
88,90,0.11498726060952012
89,91,0.10852538512171929
90,92,0.11296698687520074
91,93,0.11898723944596681
92,94,0.12164133543948194
93,95,0.11561732705602384
94,96,0.1264943860440642
95,97,0.10845179054995165
96,98,0.12592532143749266
97,99,0.1148590122263913
98,100,0.1072766905704366
99,101,0.11565325260362137
100,102,0.11913426827219249
101,103,0.11992466708655816
102,104,0.115967952404994
103,105,0.11489354003056178
104,106,0.12589801145073523
105,107,0.11521478735729394
106,108,0.11720473723676528
107,109,0.11385553039663202
108,110,0.12254368773406153
109,111,0.11937399267220071
110,112,0.1141793171552074
111,113,0.12378260401118692
112,114,0.12732462294541988
113,115,0.1144419013458208
114,116,0.1137384080614743
115,117,0.12031800146739892
116,118,0.11629834872706551
117,119,0.11715606356566557
118,120,0.1172800952955611
119,121,0.1297541550885337
120,122,0.12131681989407259
121,123,0.1234099663100521
122,124,0.11719287944968064
123,125,0.1215374916193804
124,126,0.12348370364391406
125,127,0.12229945458643793
126,128,0.12338907744707936
127,129,0.1219538529319304
128,130,0.12270585453825321
129,131,0.12592891903234257
130,132,0.11855770282160856
131,133,0.11347079332175186
132,134,0.10920695173552047
133,135,0.12272399217458854
134,136,0.11630027500642058
135,137,0.1317788615288963
136,138,0.12196947790492794
137,139,0.11659666355016654
138,140,0.11648531323014998
139,141,0.12080370875584803
140,142,0.12169431824885114
141,143,0.11696016407622005
142,144,0.12469353539956976
143,145,0.11759702527934847
144,146,0.1211311369210029
145,147,0.12140047382843445
146,148,0.11957315412138983
147,149,0.12232455877329924
148,150,0.1136464677292422
149,151,0.11464811522583747
150,152,0.11820661286142871
151,153,0.11695575197619433
152,154,0.12673768689653714
153,155,0.11291592951854129
154,156,0.12012505394398997
155,157,0.11363210922824662
156,158,0.11984840731182303
157,159,0.10505171777104068
158,160,0.1155181043406906
159,161,0.11835673014978583
160,162,0.10015292637248731
161,163,0.11219850861352167
162,164,0.10565070872864674
163,165,0.11084345903525242
164,166,0.10829121230793701
165,167,0.11467063628438519
166,168,0.11448471886816988
167,169,0.10711458867758818
168,170,0.11032938392991569
169,171,0.10340749747991493
170,172,0.10163686457716486
171,173,0.1096577154111251
172,174,0.10299233582515391
173,175,0.1059992926262808
174,176,0.10319230522986671
175,177,0.10378980816906933
176,178,0.10075037357126512
177,179,0.09632742438556768
178,180,0.10212721607773757
179,181,0.09814049355821314
180,182,0.09858397882396618
181,183,0.0920080131588746
182,184,0.09529728383681804
183,185,0.09411372937444143
184,186,0.09215096453763728
185,187,0.0912571620199068
186,188,0.09259555236670511
187,189,0.09069371091032112
188,190,0.09200360186424707
189,191,0.0932542775289991
190,192,0.08867515015249597
191,193,0.08771725566104595
192,194,0.08987458940683943
193,195,0.0874983611980173
194,196,0.0874448846634723
195,197,0.08652256213997497
196,198,0.08543661552362643
197,199,0.08120881520141114
198,200,0.07753494260278535
199,201,0.08029859580847766
200,202,0.079463836977528
201,203,0.07452862025445153
202,204,0.06953877268487109
203,205,0.06940081874095998
204,206,0.06810588461239903
205,207,0.07078286068405241
206,208,0.0710529130488544
207,209,0.0643845512910527
208,210,0.06560881120287569
209,211,0.06811878119064957
210,212,0.05984961116509419
211,213,0.05823747082301175
212,214,0.06160248520667778
213,215,0.06279899003703301
214,216,0.053913376214524085
215,217,0.05727988389148121
216,218,0.052082078394259344
217,219,0.0531344895486364
218,220,0.05051461672178321
219,221,0.04628051327513645
220,222,0.04629878523963354
221,223,0.04190028631508513
222,224,0.039328434364103895
