,n_clusters,SSE
0,1,59.5417152176139
1,2,53.1915671761888
2,3,47.70692011756421
3,4,43.10224178559826
4,5,39.62840476512404
5,6,39.33293855327692
6,7,34.06172261411097
7,8,31.44027386731662
8,9,30.1041523979541
