,n_clusters,SSE
0,1,54.53620022646242
1,2,47.866377480874114
2,3,45.905069242484544
3,4,39.85977083333924
4,5,35.52552861234442
5,6,37.5521768018031
6,7,33.46580018169199
7,8,28.575887536512028
8,9,25.90535408855009
