,n_clusters,SSE
0,1,156281803.38866708
1,2,69688490.47957633
2,3,63838117.030688554
3,4,45538974.86613233
4,5,40200928.69010523
5,6,36350111.966774724
6,7,33661101.40691277
7,8,29958636.56215512
8,9,28398278.275750753
