,n_clusters,silhouette
0,2,0.07103661274645234
1,3,0.0840896860757044
2,4,0.08547916820565006
3,5,0.10139042558011954
4,6,0.11173360345096728
5,7,0.13137534703953296
6,8,0.1499754055451001
7,9,0.1441586623247956
