,n_clusters,silhouette
0,2,0.4327478109889043
1,3,0.3383913509413048
2,4,0.3714264167814223
3,5,0.26680668327340507
4,6,0.2319805853254312
5,7,0.21162416104704676
6,8,0.15967581414405485
7,9,0.17868243358196242
