,n_clusters,silhouette
0,2,0.3393062523702908
1,3,0.33079104994402786
2,4,0.3750962876377497
3,5,0.4399336298617049
4,6,0.40056071923851244
5,7,0.42707513501320477
6,8,0.374852297882853
7,9,0.3235972395067353
8,10,0.3448690033271882
9,11,0.3333775382702795
10,12,0.32067147421712994
11,13,0.27389449864237503
12,14,0.2738459275605209
13,15,0.26931431474146905
14,16,0.2588164705824517
15,17,0.22776303171111978
16,18,0.22408923455012048
17,19,0.22768926499569084
18,20,0.1905466098745685
19,21,0.1977510215213249
20,22,0.18626852565330676
21,23,0.18280760209778713
22,24,0.157498325702441
23,25,0.2164805187796038
24,26,0.1925324861359867
25,27,0.18435143007772634
26,28,0.1499445990947618
27,29,0.16708138563911065
28,30,0.1595801895134851
29,31,0.17351558585556942
30,32,0.17736271963383066
31,33,0.14844636440274173
32,34,0.16367933851189712
33,35,0.16694183209013846
34,36,0.14192105021771034
35,37,0.1525379948708223
36,38,0.14065800457653618
37,39,0.14200979404683015
38,40,0.1442303513571117
39,41,0.12360271946711943
40,42,0.12361555603447896
41,43,0.14694370619608385
42,44,0.12650109488592878
43,45,0.1288412356384896
44,46,0.11255230928052368
45,47,0.11346014159908083
46,48,0.11399252130608982
47,49,0.09124750196349113
48,50,0.10963493990793202
49,51,0.09711542942575133
50,52,0.09342885865347861
51,53,0.0810606545594058
52,54,0.07434823580962667
53,55,0.10606961046042408
54,56,0.08609413794327068
55,57,0.07438799753714125
56,58,0.06651663065478927
57,59,0.06386287067965195
58,60,0.054337538787740974
59,61,0.0589824207544511
60,62,0.04947637686062881
61,63,0.03864031638372884
62,64,0.02837659176288063
63,65,0.022731734803100333
64,66,0.01567202715759029
65,67,0.01915889529637249
66,68,0.0170393649169056
67,69,0.005671162831204454
68,70,0.002898717614836845
69,71,0.0012684108898497826
