,n_clusters,silhouette
0,2,0.13096688564558615
1,3,0.03634454384022433
2,4,0.0728030810688573
3,5,0.06619474052277904
4,6,0.0615338986814523
5,7,0.07550680290384684
6,8,0.056220564550068595
7,9,0.0349347541363952
8,10,0.06441914833963348
9,11,0.06197389736883337
10,12,0.05732847975975399
11,13,0.03663101655053256
12,14,0.06445851707896763
13,15,0.06378701147356398
14,16,0.06657151054536195
15,17,0.07848907780000483
16,18,0.05791989518389815
17,19,0.08052235849700849
18,20,0.05746388230270391
19,21,0.06996426826807997
20,22,0.06797296980007589
21,23,0.09385409348254686
22,24,0.0781525948780569
23,25,0.08790954123943667
24,26,0.06839956605324513
25,27,0.08372940872754668
26,28,0.0888250087162097
27,29,0.09076115650021359
28,30,0.1010153413088904
29,31,0.09809566050983679
30,32,0.08661243427588942
31,33,0.0900816993714634
32,34,0.10870309432276735
33,35,0.09754967468071944
34,36,0.09854789151787959
35,37,0.0907223760815448
36,38,0.10629406253970478
37,39,0.12538091514616384
38,40,0.10611348027210667
39,41,0.1261564644751637
40,42,0.12697701035509606
41,43,0.09547990289135759
42,44,0.11526012359123546
43,45,0.11721643472017443
44,46,0.11686179993727339
45,47,0.1017394982177661
46,48,0.11306789635366157
47,49,0.11530086212355731
48,50,0.12943260261752274
49,51,0.13234090690696268
50,52,0.12519908291902934
51,53,0.12471017902215395
52,54,0.13171760879550878
53,55,0.140880997971787
54,56,0.13138429088301293
55,57,0.1359300080837698
56,58,0.13372252374180055
57,59,0.12860321419653212
58,60,0.13015824424861858
59,61,0.13781702280459976
60,62,0.13563493016267486
61,63,0.13413117341148145
62,64,0.14548731809866092
63,65,0.13603227873681795
64,66,0.1461003856471312
65,67,0.14063618919112073
66,68,0.1350203194186107
67,69,0.13804667725473097
68,70,0.14857207792919863
69,71,0.15117542189953986
70,72,0.1384348088687551
71,73,0.14085918277189596
72,74,0.13274957327837827
73,75,0.1419517193745809
74,76,0.15181638177037457
75,77,0.14587651368765173
76,78,0.14587694147809144
77,79,0.1465892142423259
78,80,0.14916447793011145
79,81,0.15485013080169452
80,82,0.14470209480514953
81,83,0.1503739645552576
82,84,0.14081217276563246
83,85,0.1519937290401471
84,86,0.15248293747757485
85,87,0.14515216554000981
86,88,0.14898029609879573
87,89,0.15287866768228411
88,90,0.15013436886935855
89,91,0.1478583967350944
90,92,0.15266059288685066
91,93,0.14396551755005582
92,94,0.1508352510491124
93,95,0.14631497525065265
94,96,0.14923453769364953
95,97,0.15021119446032566
96,98,0.14989633784810252
97,99,0.1486077091488399
98,100,0.14138911055717057
99,101,0.14575956342086863
100,102,0.1225643153811639
101,103,0.14532303186215997
102,104,0.14555462018655269
103,105,0.13132890784667137
104,106,0.139783259697494
105,107,0.1380494595837342
106,108,0.15330254914670333
107,109,0.15076806944749233
108,110,0.13977509550937467
109,111,0.1516683721402057
110,112,0.13189498026576982
111,113,0.13260848390361593
112,114,0.1400994660138443
113,115,0.13460693305188798
114,116,0.14275848373090536
115,117,0.14116873395871885
116,118,0.13440400699125093
117,119,0.12088306900330631
118,120,0.12461058976113203
119,121,0.13096427244944633
120,122,0.1460535514667649
121,123,0.12839075592373655
122,124,0.11794948343143793
123,125,0.1099733193422082
124,126,0.13101962290650163
125,127,0.1279295055117219
126,128,0.12752041086276159
127,129,0.11200364453734633
128,130,0.12314252621081391
129,131,0.1278707375688596
130,132,0.11378723512797657
131,133,0.11509792896333805
132,134,0.11248886993353276
133,135,0.10435957692702805
134,136,0.11541177789268996
135,137,0.11957137492812292
136,138,0.11185103101455747
137,139,0.10729510793536585
138,140,0.11684296457790547
139,141,0.11177099390421927
140,142,0.10904234693228623
141,143,0.11357526503125728
142,144,0.09614149878826887
143,145,0.10560289998819904
144,146,0.10473380656133505
145,147,0.10665129515020941
146,148,0.10483664993501404
147,149,0.10197192817373749
148,150,0.10690407483785871
149,151,0.09948608416154273
150,152,0.09668412548299417
151,153,0.09978168619869056
152,154,0.08594588789701062
153,155,0.08543319107207543
154,156,0.09476022140591536
155,157,0.0889627646530295
156,158,0.0853582442824146
157,159,0.09296128125073073
158,160,0.09448563949355825
159,161,0.09101224856823646
160,162,0.08810947590419888
161,163,0.085195907551527
162,164,0.08514834566168832
163,165,0.07754002914029806
164,166,0.07985713408574191
165,167,0.07401376046090129
166,168,0.08170972028579569
167,169,0.08610869991383474
168,170,0.08040291515546824
169,171,0.07686269136599903
170,172,0.07454206009150639
171,173,0.08283119675607313
172,174,0.07088465671132814
173,175,0.06942729253376835
174,176,0.0723346045697339
175,177,0.06982260014167
176,178,0.0654307014953221
177,179,0.06717648075366964
178,180,0.06644141014585021
179,181,0.06676358392031985
180,182,0.06410085425432403
181,183,0.059849060258387335
182,184,0.060106164265956684
183,185,0.06366631677612372
184,186,0.0700342937024491
185,187,0.06605534144791557
186,188,0.061051217026065405
187,189,0.059012407145176284
188,190,0.05255768615802516
189,191,0.059027525086629486
190,192,0.05516697437717045
191,193,0.05331214331567251
192,194,0.04913539376653014
193,195,0.05178532778882719
194,196,0.05415508647346658
195,197,0.05348779666545863
196,198,0.04977768753149182
197,199,0.05319662730032939
198,200,0.053909389355985673
199,201,0.04794339349465683
200,202,0.05240558247695504
201,203,0.046216521271839076
202,204,0.04649296042858335
203,205,0.03986516034715786
204,206,0.03852187884909412
205,207,0.03390301009756129
206,208,0.04117014042625502
207,209,0.035681872600385085
208,210,0.04241794795274968
209,211,0.039354077631087586
210,212,0.03165993000782311
211,213,0.030991286757991492
212,214,0.03421113640488409
213,215,0.0375850968974499
214,216,0.029406146720104536
215,217,0.02346032567422685
216,218,0.027418982197507706
217,219,0.02752029299363197
218,220,0.023166529745591902
219,221,0.022936381451603767
220,222,0.023016142104329108
221,223,0.025724883371709403
222,224,0.02170380225121138
223,225,0.015416684617801107
224,226,0.020357559268017817
225,227,0.015009415859008786
226,228,0.014716429702447539
227,229,0.01161425155920559
228,230,0.010745686897547783
229,231,0.011297756716170757
230,232,0.009929755258911672
231,233,0.00883696075348221
232,234,0.008099323137670955
233,235,0.007825287811507087
234,236,0.006117375619545934
235,237,0.003784711691836087
236,238,0.0027463119418986207
237,239,0.0017079121919611534
