,n_clusters,SSE
0,1,317918114.20128036
1,2,132999869.95598227
2,3,93840968.76102795
3,4,83077417.06101225
4,5,64320036.39077868
5,6,57744440.62296499
6,7,50615236.46835562
7,8,46773319.85487832
8,9,46819589.540296584
