,n_clusters,SSE
0,1,140602409.19669166
1,2,59003876.63829045
2,3,50052444.074298434
3,4,42500732.008646004
4,5,36179725.5898048
5,6,32739686.36303874
6,7,28390089.48571039
7,8,26415088.47566681
8,9,23546224.013310757
