,n_clusters,SSE
0,1,60.130840756423964
1,2,57.602429013377844
2,3,50.68964768057537
3,4,47.96292380313998
4,5,43.04122662186783
5,6,40.115271958947346
6,7,35.774389041422914
7,8,33.20005427653075
8,9,30.190653677476337
