,n_clusters,silhouette
0,2,0.1429134893862262
1,3,0.021201898381901108
2,4,0.03858381774004133
3,5,0.07292894834446963
4,6,0.09669177941624274
5,7,0.11716088919715067
6,8,0.18206394396725062
7,9,0.12127762656225947
8,10,0.1415254540323643
9,11,0.20257683574048685
10,12,0.15288895331660485
11,13,0.1574148612740988
12,14,0.20633727691585074
13,15,0.22533883302566618
14,16,0.24093297069502798
15,17,0.19188685379579437
16,18,0.1992865365410284
17,19,0.23494043421281957
18,20,0.23726775931860733
19,21,0.22512402901831005
20,22,0.20920447080294657
21,23,0.25462439480581606
22,24,0.17827942973159658
23,25,0.17336952751326656
24,26,0.20607491985725548
25,27,0.17640347874078807
26,28,0.16841393406925062
27,29,0.13901025454719043
28,30,0.14574168486385222
29,31,0.16249177968676037
30,32,0.14293363715884816
31,33,0.16030013297446358
32,34,0.11456677142504654
33,35,0.11443206672424111
34,36,0.0991225690645081
35,37,0.13021259540676206
36,38,0.10679600703487671
37,39,0.11471917715558819
38,40,0.12209591198077885
39,41,0.09922728057065583
40,42,0.0948439009442389
41,43,0.09355869669091557
42,44,0.09126597838327596
43,45,0.09073610199673303
44,46,0.08322605092221143
45,47,0.08085013086481939
46,48,0.07341471584425752
47,49,0.07989760740476944
48,50,0.07366480455932206
49,51,0.061756889356037334
50,52,0.06955945113076809
51,53,0.0633662493305786
52,54,0.05606422303883343
53,55,0.05455283753474759
54,56,0.04190017559874824
55,57,0.04249466648201159
56,58,0.0364208949903698
57,59,0.018097283714983186
58,60,0.009048641857491593
